"dataset","method","method_family","tuning","mode","p_reduced","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","expected_code_mean","expected_code_se","active_kernels_001_mean","active_kernels_001_se","q_effective_kernels_mean","q_effective_kernels_se","stored_atoms_mean","stored_atoms_se","rmse_gap_mean","rmse_gap_se","logscore_gap_mean","logscore_gap_se","kkt_residual_mean","kkt_residual_se","runtime_sec_mean","runtime_sec_se","reference_support_n95_mean","reference_support_n95_se","n_replications"
"gasoline","ASK-PC pooled union","support-kernel compression","beta=0.02","full",12,0.066507787030688,0.000782097531515076,0.0155286933648318,0.000284440315791797,0.0149029444995099,0.000283799872743614,0.001,0,5.95953215809581,0.0382161308712288,33,2.0976176963403,11.5394242580753,1.56690399815174,NA,NA,0.000224820050436836,0.000451111054088728,-0.00343444155390354,0.000453777602748344,0.51461681016643,0.0924538224835392,NA,NA,264,22.1788187241792,5
"tecator","ASK-PC pooled union","support-kernel compression","beta=0.02","full",12,0.0762232741443604,0.00228231882070439,0.0223132756904445,0.00151194069796221,0.0216520124352025,0.001181433882233,0.001,0,6.45303173112599,0.0907864592403488,34,1.30384048104053,14.8262715892311,0.569455789470321,NA,NA,-0.00050667803670148,0.00138606918479279,-0.000412283503894528,0.000225761554190136,0.0317738650701226,0.00446490646384303,NA,NA,308,22.7771815640127,5
"gasoline","ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02","full",12,0.066507787030688,0.000782097531515076,0.0155286933648318,0.000284440315791797,0.0149029444995099,0.000283799872743614,0.001,0,5.95953215809581,0.0382161308712288,33,2.0976176963403,11.5394242580753,1.56690399815174,NA,NA,0.000224820050436836,0.000451111054088728,-0.00343444155390354,0.000453777602748344,0.00913569293491916,0.000455483439679012,NA,NA,264,22.1788187241792,5
"tecator","ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02","full",12,0.0762232741443604,0.00228231882070439,0.0223132756904445,0.00151194069796221,0.0216520124352025,0.001181433882233,0.001,0,6.45303173112599,0.0907864592403488,34,1.30384048104053,14.8262715892311,0.569455789470321,NA,NA,-0.00050667803670148,0.00138606918479279,-0.000412283503894528,0.000225761554190136,0.0068515702892046,0.000654777952301537,NA,NA,308,22.7771815640127,5
"gasoline","Credible support set","credible support summary","coverage=0.9, beta=0.02","full",12,0.0903095267072418,0.000121798234590671,0.1472072950863,0.000238164494236262,0.0729223136220152,0.000115367430147631,0.0979419143193484,0.000200693161139865,17.7356653274091,0.112665769835627,120.6,5.16333225737023,47.0702705418162,5.31037379192018,147.6,14.7803924169827,0.00117920162920467,0.00055302934464318,0.000777552337361914,0.000538074203296371,0.00884562401971922,0.000317952185415217,NA,NA,264,22.1788187241792,5
"tecator","Credible support set","credible support summary","coverage=0.9, beta=0.02","full",12,0.0908479147795072,0.000101939327776265,0.145782806734616,0.000383162297534933,0.0727961903121127,6.80777094145122e-05,0.0996169279132468,0.000549985953282647,18.6298820645374,0.25223835571541,141.6,9.25526876973327,60.2915270276092,6.85700194087514,195.8,17.3072239252862,-0.00729515822055316,0.001675599361265,0.00129865810842631,0.00018619914773006,0.00906655142664445,0.00106028509932025,NA,NA,308,22.7771815640127,5
"gasoline","DPP-prior BMA","redundancy-aware prior","power=1","full",12,0.81649719592331,0.0153030745630758,5.5711741069087,0.238996166373073,2.60404274255973,0.177172833636761,NA,NA,31.4,1.28840987267251,NA,NA,NA,NA,31.4,1.28840987267251,0.0173010812416174,0.0069499500225348,-0.104520737505738,0.0173265326039862,NA,NA,NA,NA,264,22.1788187241792,5
"tecator","DPP-prior BMA","redundancy-aware prior","power=1","full",12,0.984333869092186,0.00173635660676497,18.9692964380381,0.476869260902492,4.66918600677578,0.17451014677866,NA,NA,2.6,0.244948974278318,NA,NA,NA,NA,2.6,0.244948974278318,0.0582940205499923,0.0248472578903492,-0.0230054960335813,0.0039078612983332,NA,NA,NA,NA,308,22.7771815640127,5
"gasoline","Dilution-prior BMA","redundancy-aware prior","power=0.5","full",12,0.642413473572729,0.0102955521603388,1.89907301873303,0.070077378912764,1.23723942203365,0.0680900629683662,NA,NA,72,6.94262198308391,NA,NA,NA,NA,72,6.94262198308391,0.00364754980251727,0.00377010949605972,-0.0541083591340088,0.00797517923510749,NA,NA,NA,NA,264,22.1788187241792,5
"tecator","Dilution-prior BMA","redundancy-aware prior","power=0.5","full",12,0.904062260170444,0.00663408259276808,8.22523438492326,0.308302561518962,3.93425555482983,0.130558916328973,NA,NA,10,0.447213595499958,NA,NA,NA,NA,10,0.447213595499958,0.0522904762623402,0.0218146111700295,-0.0211210155053369,0.00341301562594131,NA,NA,NA,NA,308,22.7771815640127,5
